user,folder_name,remove_start_image,remove_end_image,비고,,,,
최희정,2020-04-24-0,20200424113544_00.jpg,20200424113943_65.jpg,레이더 없음 & 운항 시작 시점,,,,
,2020-04-24-1,20200424114052_19.jpg,20200424115311_77.jpg,레이더 없음 & 운항 시작 시점,,,,
,2020-04-24-2,20200424115653_47.jpg,20200424115959_62.jpg,레이더 없음 & 운항 시작 시점,,,,
,2020-04-24-3,20200424120104_12.jpg,20200424165959_99.jpg,레이더 없음 & 운항 시작 시점,,,,
,2020-04-25-0,20200425070004_30.jpg,20200425115959_57.jpg,레이더 없음 & 운항 시작 시점,,,,
,2020-04-25-1,20200425120103_53.jpg,20200425121959_24.jpg,레이더 없음,,,,
,2020-04-26-0,20200426081500_76.jpg,20200426082459_21.jpg,레이더 없음,,,,
,2020-04-26-0,20200426083500_11.jpg,20200426085459_35.jpg,레이더 없음,,,,
,2020-04-26-0,20200426091500_23.jpg,20200426092459_19.jpg,레이더 없음,,,,
,2020-04-26-0,20200426094500_50.jpg,20200426100459_87.jpg,레이더 없음,,,,
,2020-04-26-0,20200426110500_38.jpg,20200426111459_32.jpg,레이더 없음,,,,
,2020-04-26-0,20200426113500_63.jpg,20200426114459_29.jpg,레이더 없음,,,,
,2020-04-26-1,20200426120500_41.jpg,20200426122459_88.jpg,레이더 없음,,,,
,2020-04-26-1,20200426123500_68.jpg,20200426125459_91.jpg,레이더 없음,,,,
,2020-04-27-0,20200427070500_16.jpg,20200427071459_89.jpg,레이더 없음,,,,
,2020-04-27-0,20200427075500_62.jpg,20200427081459_22.jpg,레이더 없음,,,,
,2020-04-27-0,20200427082500_90.jpg,20200427084459_09.jpg,레이더 없음,,,,
,2020-04-27-0,20200427091500_65.jpg,20200427092459_11.jpg,레이더 없음,,,,
,2020-04-27-0,20200427094500_71.jpg,20200427115959_99.jpg,레이더 없음,,,,
,2020-04-27-1,20200427120103_21.jpg,20200427165959_34.jpg,레이더 없음 & 다른 배 출현 및 운항 종료 시점,,,,
,2020-04-28-0,20200428070003_57.jpg,20200428115959_62.jpg,운항 시작 시점,,,,
